geschlecht,alter,bundesland,beruf,konsumhaeufigkeit,situation_freunde_familie,situation_party,situation_zuhause_essen,situation_zuhause_entspannung,situation_oeffentliche_veranstaltungen,situation_gastro,situation_urlaub,involvement_interesse,involvement_rolle,involvement_spass,involvement_wichtigkeit,involvement_vorteilhaft,involvement_unverzichtbar,gesundheit_wichtig,umweltfreundlich_wichtig,neue_produkte_probie,bio_mehrpreis_bereit,tierfrei_wichtig,alkoholverzicht_wichtig,einfluss_geschmack,einfluss_geruch,einfluss_preis,einfluss_markenbekanntheit,einfluss_nachhaltigkeit,einfluss_herkunft,einfluss_verpackungsdesign,einfluss_verpackungsform,einfluss_aktionsangebote,einfluss_alkoholgehalt,einfluss_empfehlung,einfluss_verfuegbarkeit,praef_sorte_alkoholfrei,praef_sorte_weizen,praef_sorte_koelsch,praef_sorte_altbier,praef_sorte_pale_ale,praef_sorte_stout,praef_sorte_maerzen_export,praef_sorte_radler,praef_sorte_pils,praef_sorte_bock_schwarzrauchbier,praef_sorte_helles_lager,praef_sorte_craft_beer,praef_alkoholfrei_0,praef_alkoholfrei_0_5,praef_bier_alkohol,geschmack_rauchig,geschmack_hopfig,geschmack_suesslich_malzig,geschmack_fruchtig,geschmack_kraeuter,geschmack_gewuerze,geschmack_bitter,geschmack_saeuerlich,geschmack_zitrus,score,broken_rules,explanation
weiblich,2001,Baden-Württemberg,Angestellte / Angestellter,mehrmals pro Woche,3,3,1,2,3,3,2,4,5,1,2,3,1,5,2,2,1,1,1,5,4,2,2,4,3,3,2,4,1,2,4,2,2,4,1,2,1,3,4,4,1,4,1,5,1,5,2,1,4,3,1,3,3,2,3,50,"[""Abstinence Contradiction"", ""Health Contradiction""]","The user shows a high preference for alcoholic beer while stating that avoiding alcohol is not important, and also considers healthy nutrition and avoiding alcohol very important while stating that beer consumption is very advantageous."
maennlich,1998,Baden-Württemberg,Studentin / Student,mehrmals im Monat,2,3,1,1,3,2,3,1,2,4,4,2,3,1,2,5,2,1,2,4,3,5,2,2,3,4,3,3,3,2,4,2,3,1,1,2,1,1,3,1,1,5,1,2,3,1,2,2,1,3,2,3,3,2,3,100,[],All responses are logically consistent with the evaluation rules.
maennlich,2001,Baden-Württemberg,Schülerin / Schüler,seltener als einmal pro Monat,2,3,2,2,3,2,3,2,2,3,2,2,4,4,4,4,1,1,1,5,2,3,1,2,2,2,3,5,5,3,2,1,3,2,2,3,2,5,4,3,1,4,3,2,2,3,1,4,1,3,4,1,3,2,3,100,[],All responses are logically consistent with the evaluation rules.
weiblich,2006,Baden-Württemberg,Studentin / Student,mehrmals im Monat,2,3,2,1,2,1,1,2,1,3,4,3,4,5,1,3,2,3,1,5,4,4,1,3,3,1,4,3,3,3,3,1,5,1,1,4,1,1,4,3,2,5,4,2,3,4,2,3,4,2,3,1,3,1,1,75,[],The data row is logically consistent with no broken rules.
weiblich,2001,Baden-Württemberg,Angestellte / Angestellter,seltener als einmal pro Monat,2,3,2,2,3,2,1,3,2,5,4,2,5,2,3,4,4,2,2,5,5,3,2,2,3,3,2,3,1,5,3,5,5,2,1,2,2,4,4,2,2,4,4,5,1,3,2,5,3,1,3,2,3,2,2,100,[],All responses are logically consistent with the evaluation rules.
maennlich,2004,Baden-Württemberg,Angestellte / Angestellter,seltener als einmal pro Monat,2,3,2,3,3,2,2,5,1,4,3,1,1,2,5,4,2,1,2,5,3,4,4,2,4,3,1,3,4,4,3,5,1,3,1,1,1,4,4,1,2,3,3,1,1,2,2,5,5,5,2,2,2,3,4,100,[],All responses are logically consistent with the evaluation rules.
maennlich,2000,Baden-Württemberg,ohne Beschäftigung,mehrmals im Monat,3,3,1,1,2,2,2,5,3,3,2,1,2,3,4,3,1,2,2,5,2,5,1,2,3,2,4,3,5,3,2,1,5,1,1,2,1,4,4,2,1,5,1,2,2,5,2,3,5,4,3,3,2,3,3,50,"[""Abstinence Contradiction"", ""Health Contradiction""]","The user shows a high preference for alcoholic beer while indicating that avoiding alcohol is important, and also considers beer consumption advantageous despite valuing health and abstinence highly."
maennlich,1998,Baden-Württemberg,in Ausbildung/im Freiwilligendienst,mehrmals im Monat,3,3,1,2,3,3,2,2,3,5,1,2,3,4,4,2,2,2,1,4,3,5,3,2,3,4,2,4,3,3,3,1,1,3,1,1,1,2,2,4,2,4,3,2,3,4,2,3,5,2,1,2,2,2,3,100,[],All responses are logically consistent with the evaluation rules.
maennlich,2000,Baden-Württemberg,Angestellte / Angestellter,seltener als einmal pro Monat,2,3,1,2,2,2,2,5,2,5,3,4,2,5,2,4,1,1,3,4,3,4,1,2,4,2,2,1,2,3,5,2,5,3,1,1,4,5,4,1,1,5,1,1,1,4,2,2,3,4,3,3,1,2,3,75,[],The data row is logically consistent with no broken rules.
maennlich,1999,Baden-Württemberg,Angestellte / Angestellter,mehrmals pro Woche,2,3,1,1,1,3,2,2,5,2,2,3,2,5,4,4,4,2,2,4,3,5,3,3,3,3,3,1,5,2,2,2,3,4,3,2,1,2,2,2,2,5,3,1,3,4,2,3,1,5,2,2,3,1,5,50,"[""Abstinence Contradiction"", ""Health Contradiction""]","The user shows a high preference for alcoholic beer while also considering avoiding alcohol very important, and they also consider healthy nutrition and avoiding alcohol very important while stating that beer consumption is very advantageous."
maennlich,1999,keine Angabe,Angestellte / Angestellter,einmal pro Monat,2,3,2,1,1,3,2,5,3,4,2,4,1,5,2,4,2,2,2,4,4,3,5,5,3,2,2,3,2,2,4,5,4,2,2,2,1,1,5,3,2,5,1,1,2,3,2,4,3,3,3,3,2,2,3,100,[],All responses are logically consistent with the evaluation rules.
maennlich,2005,Baden-Württemberg,Studentin / Student,einmal pro Monat,3,3,1,1,3,2,3,1,1,3,2,1,1,5,3,5,3,1,2,5,4,4,3,2,5,3,3,5,2,5,5,1,1,1,1,1,2,1,3,3,1,5,2,1,5,5,2,3,3,2,3,3,1,3,3,50,"[""Abstinence Contradiction"", ""Health Contradiction""]","The user shows a high preference for alcoholic beer while also considering avoiding alcohol very important, and they also consider healthy nutrition and avoiding alcohol very important while stating that beer consumption is very advantageous."
weiblich,2002,Baden-Württemberg,Studentin / Student,mehrmals im Monat,2,3,1,2,2,3,1,2,2,4,1,1,1,5,1,4,2,1,4,3,4,2,3,5,1,2,3,3,3,2,4,1,4,1,3,2,1,1,3,4,2,5,1,5,5,5,2,3,3,1,4,3,2,2,5,50,"[""Abstinence Contradiction"", ""Health Contradiction"", ""Sustainability Value Mismatch""]","The data row violates multiple rules regarding alcohol avoidance, health considerations, and sustainability preferences."
maennlich,1999,Baden-Württemberg,Beamtin / Beamter,mehrmals im Monat,3,3,1,1,3,2,1,2,3,3,1,3,2,5,4,5,2,1,1,4,4,4,2,3,3,4,2,3,3,3,2,3,2,1,1,3,1,4,1,1,2,4,1,2,3,3,1,5,1,2,3,1,1,2,3,100,[],All responses are logically consistent with the evaluation rules.
